learning_rate,regularizers,dropouts,val_loss,val_accuracy
0.0001,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.4)",0.8565760850906372,0.8500000238418579
0.0005,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.4)",1.7820699214935303,0.3166666626930237
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.4)",0.6620051264762878,0.8833333253860474
1e-05,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.4)",0.7987252473831177,0.8500000238418579
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.3)",0.7335258722305298,0.8916666507720947
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.4, 0.4)",0.7994418740272522,0.875
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.5, 0.5)",0.8930262923240662,0.8416666388511658
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.4)",0.9355457425117493,0.7833333611488342
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.4, 0.5)",0.8411641716957092,0.8833333253860474
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.5)",0.8295973539352417,0.8333333134651184
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.35, 0.45)",0.8854188323020935,0.8500000238418579
5e-05,"(0.001, 0.001, 0.001, 0.001)","(0.3, 0.4)",0.8673333525657654,0.8416666388511658
5e-05,"(0.01, 0.01, 0.01, 0.01)","(0.3, 0.4)",2.4675331115722656,0.8333333134651184
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.6933700442314148,0.8416666388511658
5e-05,"(0.01, 0.005, 0.001, 0.001)","(0.3, 0.4)",0.9801864624023438,0.8083333373069763
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.5316740274429321,0.8583333492279053
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.47070935368537903,0.8333333134651184
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.6281800866127014,0.824999988079071
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.5069101452827454,0.875
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.5752599239349365,0.8500000238418579
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.4, 0.4)",0.604437530040741,0.8500000238418579
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.3)",0.6581799983978271,0.7749999761581421
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.35, 0.4)",0.690069317817688,0.8333333134651184
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.35, 0.4)",0.5529597997665405,0.8333333134651184
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.7001922726631165,0.875
5e-05,"(0.0001, 0.0001, 0.0001, 0.0001)","(0.3, 0.4)",0.6741741299629211,0.7583333253860474
